timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
12,NORMAL,241.697415331254,241.697415331254,179.414805382489,20,15.7235995528216,165.06162095189,0,19.4076490410492,0,0,74526.0080632051,6066.99392931312,-78450.2066651584,1,1,model_causal_reserve_1h_annual,0.833950616285534,0.0929634111864579,0.0730859725280082,1,241.697415331254,241.697415331254,0,0,0,0.89375,20,44579.8837414127,0,179.414805382489,20.7926099487645,0,0,238.336,0,3.36141533125378
13,NORMAL,214.111027758567,214.111027758567,151.351089012012,20,16.1313529310834,139.243001891051,0,19.8534653600074,0,0,65454.213360782,5515.26617785937,-69930.1397141891,1,1,model_causal_reserve_1h_annual,0.807281404292515,0.106676656185599,0.0860419395218864,1,214.111027758567,214.111027758567,0,0,0,0.89375,20,44932.1824907522,0,151.351089012012,21.2699387465549,0,0,209.2888,0,4.82222775856656
14,NORMAL,193.428270774166,193.428270774166,130.290385739412,20,16.4542163125962,119.867154880259,0,20.206528887195,0,0,58655.4402004908,5101.61103817137,-63545.021693586,1,1,model_causal_reserve_1h_annual,0.781376932962268,0.119943912749643,0.0986791542880893,1,193.428270774166,193.428270774166,0,0,0,0.89375,20,45284.4812400916,0,130.290385739412,21.6478850347542,0,0,186.9448,0,6.48347077416645
15,NORMAL,179.826633421327,179.826633421327,116.753324889108,20,16.3990836241743,107.41305889798,0,20.1465377648757,0,0,54141.9700857105,4829.57829111459,-59303.5843258624,1,1,model_causal_reserve_1h_annual,0.762334239614537,0.130588870225083,0.107076890160379,1,179.826633421327,179.826633421327,0,0,0,0.89375,20,45636.779989431,0,116.753324889108,21.5833085322193,0,0,171.304,0,8.52263342132742
16,NORMAL,183.373470774166,183.373470774166,120.638208600895,20,16.1103573958197,110.987151912823,0,19.8312759706939,0,0,55271.0126739632,4900.51503817137,-60361.6901670584,1,1,model_causal_reserve_1h_annual,0.769628786290927,0.127592873802873,0.1027783399062,1,183.373470774166,183.373470774166,0,0,0,0.89375,20,45989.0787387705,0,120.638208600895,21.2452621732718,0,0,176.89,0,6.48347077416645
17,NORMAL,201.478215331254,201.478215331254,200,20,16.3075334981924,184,0,20.047002490694,0,0,129503.501245347,7107.24543564357,-109928.202000736,1,1,model_causal_reserve_1h_annual,0.846354735455482,0.0846354735455482,0.0690097909989702,1,201.478215331254,201.478215331254,0,0,61.487850211015,0.489224669664375,20,46341.3774881099,0,200,21.4760655422688,0,0,198.1168,0,3.36141533125378
18,NORMAL,233.8672,233.8672,200,20,16.5560018737607,184,0,20.3187880688154,0,0,129639.394034408,6781.28112567254,-122245.819421208,1,1,model_causal_reserve_1h_annual,0.845465760394154,0.0845465760394154,0.0699876635664305,1,233.8672,233.8672,0,0,29.0297167661501,0.298239690939704,20,46693.6762374493,0,200,21.7669167661501,0,0,233.8672,0,0
19,NORMAL,284.1412,284.1412,200,20,16.7475287135032,184,0,20.5283532837504,0,0,129744.176641875,6915.86962268804,-139748.77359012,1,1,model_causal_reserve_1h_annual,0.844781785418454,0.0844781785418454,0.0707400360397001,1,284.1412,284.1412,0,21.0200941594597,0,0.423046500011496,20,47045.9749867888,0,200,21.9911058405404,0,0,284.1412,0,0
20,NORMAL,337.7668,337.3022833164,200,20,16.0481304647299,184,0,19.7642756221001,0.464516683599697,0,129362.13781105,7979.09128901604,-156097.989053301,1,1,model_causal_reserve_1h_annual,0.847284829607595,0.0847284829607594,0.0679866874316456,1,337.7668,337.3022833164,0.464516683599697,75,0,0.868359000011496,20,47398.2737361282,0,200,21.1722833164003,0,0,337.7668,0,0
21,NORMAL,378.868,266.170255252808,200,20,15.699304156741,184,0,19.3833036153232,112.697744747192,0,129171.651807662,6556.45072774419,-134016.101930546,1,1,model_causal_reserve_1h_annual,0.848538780016929,0.0848538780016927,0.0666073419813787,1,378.868,266.170255252808,112.697744747192,4.27637894543232,0,0.89375,20,47750.5724854677,0,200,20.7638763073754,0,0,378.868,0,0
22,NORMAL,405.818,271.332560821064,200,20,24.9757919634804,184,0,28.1948178786622,134.485439178936,0,85737.4089393311,6659.69683910932,-89068.9046314883,1,1,model_causal_reserve_1h_annual,0.816407198429691,0.0816407198429692,0.101952081727339,1,405.818,271.332560821064,134.485439178936,0,0,0.89375,20,48102.8712348071,0,200,30.2025608210638,0,0,405.818,0,0
23,NORMAL,417.821202285986,270.084918681022,200,20,23.8556469357712,184,0,27.0304973373435,147.736283604963,0,85155.2486686717,6634.74399630849,-88511.6972036298,1,1,model_causal_reserve_1h_annual,0.820157345188228,0.0820157345188229,0.0978269202929489,1,417.821202285986,270.084918681022,147.736283604963,0,0,0.89375,20,48455.1699841465,0,200,28.9549186810225,0,0,416.598,1.22320228598591,0
