scenarioId,phase,startH,endH,eAvailableMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,eBessChargeMWh,eBessDischargeMWh,ensMWh,cableActiveHours,hydrogenActiveHours,computeActiveHours
mix_H40_C60,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,0.054638515119666,117.83459749297,0,0,120.65,0,0,0,4
mix_H40_C60,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,0,148.698884758364,928.269151887982,100,0,0,0,0,8
mix_H20_C80,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-7.105427357601e-15,0,15.312141343284,0,0,0,0
mix_H20_C80,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,40.9060042265202,0,19.9353157862095,0,0,0,0
mix_H20_C80,P3_COMPUTE_START,12,18,1394.7460423458,0,0,669.144981412639,545.815348941372,0,0.00930659556772753,0,0,0,6
mix_H20_C80,P4_CABLE_SATURATION,18,24,2016.09573983665,0,0,669.144981412639,1169.31573983665,0,0,0,0,0,6
mix_H20_C80,P5_ELECTROLYSIS_START,24,30,2529.7022336105,0,5273.48951911221,669.144981412639,1378.3622336105,0,0,0,0,6,6
mix_H20_C80,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,0,5273.48951911221,669.144981412639,3053.44748825578,72.749876703669,0,0,0,6,6
mix_H20_C80,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,0,117.83459749297,0,0,120.65,0,0,0,4
mix_H20_C80,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,0,148.698884758364,928.269151887982,100,0,0,0,0,8
mix_E60_H20_C20,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E60_H20_C20,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,19.9353157862095,0,0,0,0
mix_E60_H20_C20,P3_COMPUTE_START,12,18,1394.7460423458,785.428153708285,0,468.401486988848,0,0,91.920211684941,0,6,0,6
mix_E60_H20_C20,P4_CABLE_SATURATION,18,24,2016.09573983665,1104,0,468.401486988848,185.315739836653,0,0,0,6,0,6
mix_E60_H20_C20,P5_ELECTROLYSIS_START,24,30,2529.7022336105,1104,5273.48951911221,468.401486988848,340.678023084189,53.6842105263158,0,0,6,6,6
mix_E60_H20_C20,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,1104,5273.48951911221,468.401486988848,2062.19736495945,80,0,0,6,6,6
mix_E60_H20_C20,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E60_H20_C20,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0216874069490621,1.23910041994451e-13,148.698884758364,928.245578619546,100,0,0,1,0,8
mix_E50_H30_C20,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E50_H30_C20,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,19.9353157862095,0,0,0,0
mix_E50_H30_C20,P3_COMPUTE_START,12,18,1394.7460423458,785.428153708285,0,468.401486988848,0,0,91.920211684941,0,6,0,6
mix_E50_H30_C20,P4_CABLE_SATURATION,18,24,2016.09573983665,1104,0,468.401486988848,185.315739836653,0,0,0,6,0,6
mix_E50_H30_C20,P5_ELECTROLYSIS_START,24,30,2529.7022336105,1104,7812.55487053021,468.401486988848,229.878233610505,0,0,0,6,6,6
mix_E50_H30_C20,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,1104,7812.55487053021,468.401486988848,1878.91315443314,133.684210526316,0,0,6,6,6
mix_E50_H30_C20,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E50_H30_C20,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.022490441882822,0,148.698884758364,928.244705755501,100,0,0,1,0,8
mix_E40_H30_C30,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E40_H30_C30,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,19.9353157862095,0,0,0,0
mix_E40_H30_C30,P3_COMPUTE_START,12,18,1394.7460423458,586.708153708285,0,669.144981412639,0,0,91.920211684941,0,6,0,6
mix_E40_H30_C30,P4_CABLE_SATURATION,18,24,2016.09573983665,927.36,0,669.144981412639,161.315739836653,0,0,0,6,0,6
mix_E40_H30_C30,P5_ELECTROLYSIS_START,24,30,2529.7022336105,927.36,7812.55487053021,669.144981412639,205.878233610505,0,0,0,6,6,6
mix_E40_H30_C30,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,927.36,7812.55487053021,669.144981412639,1854.91315443314,133.684210526316,0,0,6,6,6
mix_E40_H30_C30,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E40_H30_C30,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0238732595141988,0,148.698884758364,928.243202692858,100,0,0,1,0,8
mix_E30_H30_C40,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E30_H30_C40,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,19.9353157862095,0,0,0,0
mix_E30_H30_C40,P3_COMPUTE_START,12,18,1394.7460423458,557.684069259592,0,669.144981412639,31.5479178790147,0,91.920211684941,0,6,0,6
mix_E30_H30_C40,P4_CABLE_SATURATION,18,24,2016.09573983665,695.52,0,669.144981412639,413.315739836653,0,0,0,6,0,6
mix_E30_H30_C40,P5_ELECTROLYSIS_START,24,30,2529.7022336105,695.52,7812.55487053021,669.144981412639,457.878233610505,0,0,0,6,6,6
mix_E30_H30_C40,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,695.52,7812.55487053021,669.144981412639,2106.91315443314,133.684210526316,0,0,6,6,6
mix_E30_H30_C40,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E30_H30_C40,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0216727616930111,0,148.698884758364,928.245594538316,100,0,0,1,0,8
mix_E20_H40_C40,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E20_H40_C40,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,14.3620143088473,26.543989917673,19.9353157862095,0,0,0,0
mix_E20_H40_C40,P3_COMPUTE_START,12,18,1394.7460423458,463.68,0,669.144981412639,120.76453611701,0,78.9584937712064,0,6,0,6
mix_E20_H40_C40,P4_CABLE_SATURATION,18,24,2016.09573983665,463.68,0,669.144981412639,665.315739836653,0,0,0,6,0,6
mix_E20_H40_C40,P5_ELECTROLYSIS_START,24,30,2529.7022336105,463.68,10638,669.144981412639,563.646233610505,0,0,0,6,6,6
mix_E20_H40_C40,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,463.68,10638,669.144981412639,2177.79715443314,133.684210526316,0,0,6,6,6
mix_E20_H40_C40,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E20_H40_C40,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0204111314109432,0,148.698884758364,928.246965875579,100,0,0,1,0,8
mix_E20_H60_C20,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E20_H60_C20,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,40.9060042265202,0,19.9353157862095,0,0,0,0
mix_E20_H60_C20,P3_COMPUTE_START,12,18,1394.7460423458,463.68,0,468.401486988848,275.59592024725,0,17.7898779014459,0,6,0,6
mix_E20_H60_C20,P4_CABLE_SATURATION,18,24,2016.09573983665,463.68,0,468.401486988848,881.315739836653,0,0,0,6,0,6
mix_E20_H60_C20,P5_ELECTROLYSIS_START,24,30,2529.7022336105,463.68,10638,468.401486988848,755.001969779078,12.4513407545035,0,0,6,6,6
mix_E20_H60_C20,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,463.68,10638,468.401486988848,2459.67428803638,80,0,0,6,6,6
mix_E20_H60_C20,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E20_H60_C20,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0171753564514565,0,148.698884758364,928.250483022274,100,0,0,1,0,8
mix_E20_H20_C60,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E20_H20_C60,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,14.3620143088473,26.543989917673,19.9353157862095,0,0,0,0
mix_E20_H20_C60,P3_COMPUTE_START,12,18,1394.7460423458,463.68,0,669.144981412639,120.76453611701,0,78.9584937712064,0,6,0,6
mix_E20_H20_C60,P4_CABLE_SATURATION,18,24,2016.09573983665,463.68,0,669.144981412639,665.315739836653,0,0,0,6,0,6
mix_E20_H20_C60,P5_ELECTROLYSIS_START,24,30,2529.7022336105,463.68,5273.48951911221,669.144981412639,874.362233610505,0,0,0,6,6,6
mix_E20_H20_C60,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,463.68,5273.48951911221,669.144981412639,2488.51315443314,133.684210526316,0,0,6,6,6
mix_E20_H20_C60,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E20_H20_C60,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0186029175579911,0,148.698884758364,928.248931325419,100,0,0,1,0,8
