timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
10,NORMAL,261.7972,243.751185313458,200,1.06581410364015e-14,17.2854869000597,184,0,21.113827126825,18.046014686542,0,82196.9135634125,4875.02370626916,-77321.8898571434,1,1,model_causal_myopic_1h_annual,0.92044803752581,4.90513250031453e-17,0.0795519624741904,1,261.7972,243.751185313458,18.046014686542,0,0,0.89375,1.06581410364015e-14,2.97258939128103e-13,0,200,22.621185313458,0,0,261.7972,0,0
11,NORMAL,257.47125859082,243.999519240835,200,1.86517468137026e-14,17.1901304991901,184,0,21.0098998872005,13.471739349985,0,82144.9499436003,4879.9903848167,-77264.9595587836,1,1,model_causal_myopic_1h_annual,0.920852156312627,8.58775063619761e-17,0.0791478436873734,1,257.47125859082,243.999519240835,13.471739349985,0,0,0.89375,1.86517468137026e-14,6.25808292901268e-13,0,200,22.5095192408349,0,0,257.3284,0,0.142858590820011
12,NORMAL,241.697415331254,241.697415331254,199.414805382489,0,15.7235995528216,183.46162095189,0,19.4076490410492,0,0,81150.0080632051,4833.94830662508,-76316.05975658,1,1,model_causal_myopic_1h_annual,0.926914027471992,0,0.0730859725280082,1,241.697415331254,241.697415331254,0,0,0,0.89375,0,6.25808292901268e-13,0,199.414805382489,20.7926099487645,0,0,238.336,0,3.36141533125378
13,NORMAL,214.111027758567,214.111027758567,171.351089012012,2.30926389122033e-14,16.1313529310834,157.643001891051,0,19.8534653600074,0,0,72078.213360782,4282.22055517133,-67795.9928056106,1,1,model_causal_myopic_1h_annual,0.913958060478113,1.23172275082764e-16,0.0860419395218864,1,214.111027758567,214.111027758567,0,0,0,0.89375,2.30926389122033e-14,1.03258368328709e-12,0,171.351089012012,21.2699387465549,0,0,209.2888,0,4.82222775856656
14,NORMAL,193.428270774166,193.428270774166,150.290385739412,1.77635683940025e-15,16.4542163125962,138.267154880259,0,20.206528887195,0,0,65279.4402004908,3868.56541548333,-61410.8747850075,1,1,model_causal_myopic_1h_annual,0.901320845711911,1.06531594878627e-17,0.0986791542880893,1,193.428270774166,193.428270774166,0,0,0,0.89375,1.77635683940025e-15,1.06387409793216e-12,0,150.290385739412,21.6478850347542,0,0,186.9448,0,6.48347077416645
15,NORMAL,179.826633421327,179.826633421327,136.753324889108,1.77635683940024e-15,16.3990836241743,125.81305889798,0,20.1465377648757,0,0,60765.9700857105,3596.53266842655,-57169.4374172839,1,1,model_causal_myopic_1h_annual,0.89292310983962,1.15986216386939e-17,0.107076890160379,1,179.826633421327,179.826633421327,0,0,0,0.89375,1.77635683940024e-15,1.09516451257722e-12,0,136.753324889108,21.5833085322193,0,0,171.304,0,8.52263342132742
16,NORMAL,183.373470774166,183.373470774166,140.638208600895,-6.21724893790089e-15,16.1103573958197,129.387151912823,0,19.8312759706939,0,0,61895.0126739632,3667.46941548333,-58227.5432584799,1,1,model_causal_myopic_1h_annual,0.8972216600938,-3.96638329567315e-17,0.1027783399062,1,183.373470774166,183.373470774166,0,0,0,0.89375,-6.21724893790089e-15,9.85648061319498e-13,0,140.638208600895,21.2452621732718,0,0,176.89,0,6.48347077416645
17,NORMAL,201.478215331254,201.478215331254,200,-3.5527136788005e-15,16.3075334981924,184,0,20.047002490694,0,0,129503.501245347,5274.19981295553,-109075.318250052,1,1,model_causal_myopic_1h_annual,0.924609498178533,-1.64243640586387e-17,0.0753905018214665,1,201.478215331254,201.478215331254,0,0,41.487850211015,0.620803617032796,-3.5527136788005e-15,9.23067232029371e-13,0,200,21.4760655422688,0,0,198.1168,0,3.36141533125378
18,NORMAL,233.8672,233.8672,200,-1.4210854715202e-14,16.5560018737607,184,0,20.3187880688154,0,0,129639.394034408,4948.2355029845,-121392.935670524,1,1,model_causal_myopic_1h_annual,0.923548635315996,-6.56220773944935e-17,0.0764513646840037,1,233.8672,233.8672,0,0,9.02971676615008,0.561397585676546,-1.4210854715202e-14,6.72743914868863e-13,0,200,21.7669167661501,0,0,233.8672,0,0
19,NORMAL,284.1412,284.1412,200,-8.88178419700125e-16,16.7475287135032,184,0,20.5283532837504,0,0,129744.176641875,5682.824,-137583.626681541,1,1,model_causal_myopic_1h_annual,0.922732550572053,-4.09775569286476e-18,0.0772674494279473,1,284.1412,284.1412,0,41.0200941594597,0,0.804954394748338,-8.88178419700125e-16,6.57098707546332e-13,0,200,21.9911058405404,0,0,284.1412,0,0
